report_id,disaster_type,location,latitude,longitude,report_timestamp,report_text
1,Landslide,"Los Angeles, CA",35.62520720270865,-93.94957084004605,2024-08-11,"Landslide has blocked major roads near Los Angeles, CA. Emergency crews responding."
2,Wildfire,"New York, NY",35.6989819498535,-97.67280971167084,2024-11-13,"Wildfire spreading quickly through New York, NY. Evacuations underway."
3,Winter Storm,"Denver, CO",42.38840443356683,-111.15544693522489,2024-12-30,"Intense winter storm affecting Denver, CO. Heavy snowfall and travel disruptions."
4,Tornado,"Denver, CO",25.379706202373978,-107.11155049179828,2024-12-02,"Tornado sighted near Denver, CO. Extensive damage reported to homes and infrastructure."
5,Landslide,"Seattle, WA",33.186160587381295,-107.89176298232707,2024-08-16,"Landslide has blocked major roads near Seattle, WA. Emergency crews responding."
6,Volcanic Eruption,"New York, NY",44.648969370861586,-91.76595307372493,2024-03-17,"Volcanic eruption at New York, NY causing ashfall and air quality issues."
7,Hurricane,"Seattle, WA",39.47726584512093,-117.92273211159049,2024-07-06,"Hurricane conditions intensifying at Seattle, WA. Severe winds and rainfall recorded."
8,Landslide,"New York, NY",33.09345118613009,-70.90929024856223,2024-12-11,"Landslide has blocked major roads near New York, NY. Emergency crews responding."
9,Winter Storm,"Anchorage, AK",46.732595015912175,-82.48134642829632,2024-09-26,"Intense winter storm affecting Anchorage, AK. Heavy snowfall and travel disruptions."
10,Tornado,"Los Angeles, CA",43.542945458785184,-101.31470777612158,2024-04-04,"Tornado sighted near Los Angeles, CA. Extensive damage reported to homes and infrastructure."
11,Wildfire,"Anchorage, AK",31.3574907336816,-115.6411754729437,2024-11-05,"Wildfire spreading quickly through Anchorage, AK. Evacuations underway."
12,Winter Storm,"Portland, OR",40.486956100617206,-72.96246198642348,2024-05-11,"Intense winter storm affecting Portland, OR. Heavy snowfall and travel disruptions."
13,Winter Storm,"San Francisco, CA",39.29801747653496,-76.39709268403125,2024-02-08,"Intense winter storm affecting San Francisco, CA. Heavy snowfall and travel disruptions."
14,Hurricane,"Miami, FL",34.628509936935586,-82.41842838968643,2024-03-12,"Hurricane conditions intensifying at Miami, FL. Severe winds and rainfall recorded."
15,Severe Storm,"New York, NY",33.80694590091522,-108.9787242027367,2024-10-07,"Severe storms hitting New York, NY. Power outages and property damage widespread."
16,Tornado,"Portland, OR",33.24545139461689,-101.25564839141353,2024-11-28,"Tornado sighted near Portland, OR. Extensive damage reported to homes and infrastructure."
17,Earthquake,"San Francisco, CA",39.81173880149552,-118.93785310530703,2024-06-08,"Earthquake felt strongly around San Francisco, CA. Significant structural damage observed."
18,Winter Storm,"New Orleans, LA",35.61783847553607,-113.84666804107563,2024-07-05,"Intense winter storm affecting New Orleans, LA. Heavy snowfall and travel disruptions."
19,Severe Storm,"Los Angeles, CA",44.96471471803413,-78.80201839831275,2024-07-09,"Severe storms hitting Los Angeles, CA. Power outages and property damage widespread."
20,Earthquake,"Seattle, WA",41.070462787215085,-82.81271558780966,2024-04-29,"Earthquake felt strongly around Seattle, WA. Significant structural damage observed."
21,Tornado,"Seattle, WA",26.67835853702642,-89.98433998441985,2024-08-07,"Tornado sighted near Seattle, WA. Extensive damage reported to homes and infrastructure."
22,Flood,"Anchorage, AK",40.36403737187599,-72.1521231703558,2024-02-22,"Heavy flooding reported near Anchorage, AK. Water level rising rapidly, roads impassable."
23,Volcanic Eruption,"Denver, CO",31.507538476004434,-90.58727544903033,2024-08-09,"Volcanic eruption at Denver, CO causing ashfall and air quality issues."
24,Severe Storm,"San Francisco, CA",39.227487799682144,-97.44888800214697,2024-05-10,"Severe storms hitting San Francisco, CA. Power outages and property damage widespread."
25,Extreme Heat,"New Orleans, LA",41.323166346482836,-104.91812596796001,2024-08-24,"Extreme heat wave in New Orleans, LA causing heat-related illnesses. Precautions advised."
26,Flood,"Portland, OR",30.53990053969629,-69.51353816156582,2024-09-02,"Heavy flooding reported near Portland, OR. Water level rising rapidly, roads impassable."
27,Volcanic Eruption,"Los Angeles, CA",35.96460747712885,-120.11978777006314,2024-08-13,"Volcanic eruption at Los Angeles, CA causing ashfall and air quality issues."
28,Hurricane,"San Francisco, CA",29.567796707657628,-70.07764504841231,2024-07-26,"Hurricane conditions intensifying at San Francisco, CA. Severe winds and rainfall recorded."
