report_id,disaster_type,location,latitude,longitude,report_timestamp,report_text,cleaned_reports
1,Landslide,"Los Angeles, CA",35.62520720270865,-93.94957084004604,2024-08-11,"Landslide has blocked major roads near Los Angeles, CA. Emergency crews responding.",landslide block major road near los angeles emergency crew respond
2,Wildfire,"New York, NY",35.6989819498535,-97.67280971167084,2024-11-13,"Wildfire spreading quickly through New York, NY. Evacuations underway.",wildfire spread quickly new york ny evacuation underway
3,Winter Storm,"Denver, CO",42.38840443356683,-111.15544693522487,2024-12-30,"Intense winter storm affecting Denver, CO. Heavy snowfall and travel disruptions.",intense winter storm affect denver heavy snowfall travel disruption
4,Tornado,"Denver, CO",25.379706202373978,-107.11155049179828,2024-12-02,"Tornado sighted near Denver, CO. Extensive damage reported to homes and infrastructure.",tornado sight near denver extensive damage report home infrastructure
5,Landslide,"Seattle, WA",33.186160587381295,-107.89176298232708,2024-08-16,"Landslide has blocked major roads near Seattle, WA. Emergency crews responding.",landslide block major road near seattle wa emergency crew respond
6,Volcanic Eruption,"New York, NY",44.648969370861586,-91.76595307372492,2024-03-17,"Volcanic eruption at New York, NY causing ashfall and air quality issues.",volcanic eruption new york ny cause ashfall air quality issue
7,Hurricane,"Seattle, WA",39.47726584512093,-117.92273211159048,2024-07-06,"Hurricane conditions intensifying at Seattle, WA. Severe winds and rainfall recorded.",hurricane condition intensify seattle wa severe wind rainfall record
8,Landslide,"New York, NY",33.09345118613009,-70.90929024856223,2024-12-11,"Landslide has blocked major roads near New York, NY. Emergency crews responding.",landslide block major road near new york ny emergency crew respond
9,Winter Storm,"Anchorage, AK",46.732595015912175,-82.48134642829632,2024-09-26,"Intense winter storm affecting Anchorage, AK. Heavy snowfall and travel disruptions.",intense winter storm affect anchorage ak heavy snowfall travel disruption
10,Tornado,"Los Angeles, CA",43.542945458785184,-101.31470777612158,2024-04-04,"Tornado sighted near Los Angeles, CA. Extensive damage reported to homes and infrastructure.",tornado sight near los angeles extensive damage report home infrastructure
11,Wildfire,"Anchorage, AK",31.3574907336816,-115.6411754729437,2024-11-05,"Wildfire spreading quickly through Anchorage, AK. Evacuations underway.",wildfire spread quickly anchorage ak evacuation underway
12,Winter Storm,"Portland, OR",40.486956100617206,-72.96246198642348,2024-05-11,"Intense winter storm affecting Portland, OR. Heavy snowfall and travel disruptions.",intense winter storm affect portland heavy snowfall travel disruption
13,Winter Storm,"San Francisco, CA",39.29801747653496,-76.39709268403125,2024-02-08,"Intense winter storm affecting San Francisco, CA. Heavy snowfall and travel disruptions.",intense winter storm affect san francisco heavy snowfall travel disruption
14,Hurricane,"Miami, FL",34.628509936935586,-82.41842838968643,2024-03-12,"Hurricane conditions intensifying at Miami, FL. Severe winds and rainfall recorded.",hurricane condition intensify miami fl severe wind rainfall record
15,Severe Storm,"New York, NY",33.80694590091522,-108.9787242027367,2024-10-07,"Severe storms hitting New York, NY. Power outages and property damage widespread.",severe storm hit new york ny power outage property damage widespread
16,Tornado,"Portland, OR",33.24545139461689,-101.25564839141352,2024-11-28,"Tornado sighted near Portland, OR. Extensive damage reported to homes and infrastructure.",tornado sight near portland extensive damage report home infrastructure
17,Earthquake,"San Francisco, CA",39.81173880149552,-118.93785310530704,2024-06-08,"Earthquake felt strongly around San Francisco, CA. Significant structural damage observed.",earthquake feel strongly san francisco significant structural damage observe
18,Winter Storm,"New Orleans, LA",35.61783847553607,-113.84666804107565,2024-07-05,"Intense winter storm affecting New Orleans, LA. Heavy snowfall and travel disruptions.",intense winter storm affect new orleans la heavy snowfall travel disruption
19,Severe Storm,"Los Angeles, CA",44.96471471803413,-78.80201839831275,2024-07-09,"Severe storms hitting Los Angeles, CA. Power outages and property damage widespread.",severe storm hit los angeles power outage property damage widespread
20,Earthquake,"Seattle, WA",41.070462787215085,-82.81271558780966,2024-04-29,"Earthquake felt strongly around Seattle, WA. Significant structural damage observed.",earthquake feel strongly seattle wa significant structural damage observe
21,Tornado,"Seattle, WA",26.67835853702642,-89.98433998441985,2024-08-07,"Tornado sighted near Seattle, WA. Extensive damage reported to homes and infrastructure.",tornado sight near seattle wa extensive damage report home infrastructure
22,Flood,"Anchorage, AK",40.36403737187599,-72.1521231703558,2024-02-22,"Heavy flooding reported near Anchorage, AK. Water level rising rapidly, roads impassable.",heavy flooding report near anchorage ak water level rise rapidly road impassable
23,Volcanic Eruption,"Denver, CO",31.50753847600443,-90.58727544903032,2024-08-09,"Volcanic eruption at Denver, CO causing ashfall and air quality issues.",volcanic eruption denver co cause ashfall air quality issue
24,Severe Storm,"San Francisco, CA",39.227487799682144,-97.44888800214696,2024-05-10,"Severe storms hitting San Francisco, CA. Power outages and property damage widespread.",severe storm hit san francisco power outage property damage widespread
25,Extreme Heat,"New Orleans, LA",41.32316634648283,-104.91812596796,2024-08-24,"Extreme heat wave in New Orleans, LA causing heat-related illnesses. Precautions advised.",extreme heat wave new orleans la cause heat relate illness precaution advise
